camp_id,camp_name,audience,language,shot_number,timecode,visual_description,on_screen_text,narration_line,gamma_prompt
CAMP01,Mi Gran Proyecto — Campamento de Profundidad,Gifted 4th Grader,ES,2,0:06–0:11,"Sofía (9 años) mira por la ventana. Un pequeño lobo de peluche en el alféizar.",,Y apenas es martes.,"Young girl age 9 staring thoughtfully out a window at dusk, small toy wolf on windowsill, warm amber light, photorealistic"
CAMP01,Mi Gran Proyecto — Campamento de Profundidad,Gifted 4th Grader,ES,3,0:11–0:18,Sofía se voltea hacia la computadora. Teclea. Su cara cambia de inquieta a curiosa.,,Pero Sofía no agarró el teléfono. Tenía una pregunta que la picaba.,"Young girl at kitchen table laptop, typing with focused curious expression, soft warm light, NCW home, photorealistic"
CAMP01,Mi Gran Proyecto — Campamento de Profundidad,Gifted 4th Grader,ES,4,0:18–0:28,"Pantalla: chat de Gemini. Prompt: 'Hazme preguntas. No me des las respuestas. Esas son mías.'","""Hazme preguntas. Las respuestas son mías.""",Le dijo: Hazme preguntas. No me des las respuestas. Esas son mías.,"Laptop screen close-up showing a child's typed prompt in Gemini-style AI chat, warm screen glow"
CAMP01,Mi Gran Proyecto — Campamento de Profundidad,Gifted 4th Grader,ES,5,0:28–0:42,"Montaje: (1) Sofía escribiendo en un cuaderno. (2) En la biblioteca tomando un libro. (3) Leyendo un correo.",Ella lo verificó sola.,"Las respondió todas. Le mandó un correo al Washington Wolf Project. Fue a la biblioteca.","Young girl at a public library pulling a book from the shelf, warm library light, photorealistic"
CAMP01,Mi Gran Proyecto — Campamento de Profundidad,Gifted 4th Grader,ES,6,0:42–0:55,"Sofía pegando fotos en un cartel. Lobo dibujado a mano. Crayones esparcidos. Lo sostiene — orgullosa.",Las ideas son de ella.,Hizo un cartel. La IA hizo la búsqueda. Sofía hizo el pensar.,"Young girl holding up a homemade poster about wolves, hand-drawn illustrations, warm kitchen light"
CAMP01,Mi Gran Proyecto — Campamento de Profundidad,Gifted 4th Grader,ES,7,0:55–1:05,Avatar narradora — cálida y directa a cámara.,Esa es la regla.,"Esa es la regla. Ese es el campamento.","Friendly female teacher speaking directly to camera, warm classroom background, photorealistic"
CAMP01,Mi Gran Proyecto — Campamento de Profundidad,Gifted 4th Grader,ES,8,1:05–1:20,"Salón diverso — niños en Chromebooks, maestra circulando.",Para cada niño que termina primero y quiere más.,Para los niños como Sofía — y el estudiante brillante de su salón —,"Wide shot of a diverse elementary classroom, students at Chromebooks, teacher walking, handwritten sign on wall"
CAMP01,Mi Gran Proyecto — Campamento de Profundidad,Gifted 4th Grader,ES,9,1:20–1:30,Tarjeta final: fondo verde oscuro. Logos. URL. Código QR.,Firma la promesa → aigovops-foundation.github.io/aigovops-ncw-ai-camp,Firma la promesa en aigovops-foundation.github.io/aigovops-ncw-ai-camp,"Minimalist title card, dark forest-green, white sans-serif type, logos, QR code"
CAMP02,The Go Deeper Lab,Gifted 8th Grader,EN,1,0:00–0:07,"Close-up: a boy's hand sliding a finished worksheet across a desk. Clock on wall: 22 minutes in. Rest of class still working.",,(none),"Close-up of a teenager's hand pushing a finished worksheet aside, classroom clock on wall, other students still working, photorealistic"
CAMP02,The Go Deeper Lab,Gifted 8th Grader,EN,2,0:07–0:14,"Marcus (age 13) slumped slightly, phone under desk, clearly disengaged.",That's a waste.,So he scrolls. Every. Single. Time.,"13-year-old boy looking bored at school desk, phone slightly visible, unfocused expression, warm classroom light"
CAMP02,The Go Deeper Lab,Gifted 8th Grader,EN,3,0:14–0:26,"Marcus at home — three browser tabs: ChatGPT, Claude, Gemini. He's reading carefully. Expression: genuinely interested.",Three AIs. One question. They disagreed.,He opened three tabs. Same question. They disagreed on the evidence.,"Teenage boy at desk with three browser tabs on laptop showing different AI interfaces, leaning forward, warm desk lamp light"
CAMP02,The Go Deeper Lab,Gifted 8th Grader,EN,4,0:26–0:38,"Screen insert: Marcus's notes — handwritten. 'What they disagreed on:' Two bullet points. His pen circling one.",Where they disagree is where the truth hides.,That disagreement? That's where the real question lives.,"Close-up of handwritten notes on notebook paper, a pen circling key text, warm desk light"
CAMP02,The Go Deeper Lab,Gifted 8th Grader,EN,5,0:38–0:52,"Marcus with a printed journal article — highlighter in hand. Reading, not skimming.",He read the actual study.,He read the actual study they cited. He wrote his argument in his own voice.,"Teenage boy reading a printed research paper at desk, yellow highlighter in hand, focused expression, warm natural light"
CAMP02,The Go Deeper Lab,Gifted 8th Grader,EN,6,0:52–1:04,"Screen insert: his draft with Gemini critique below. His hand selecting a weak paragraph.","""Be a tough judge. Name my weakest points.""","Be a tough debate judge. Tell me my three weakest points. Don't fix them — just name them.","Laptop screen showing a draft essay with AI critique notes, a hand on trackpad selecting text"
CAMP02,The Go Deeper Lab,Gifted 8th Grader,EN,7,1:04–1:14,"Wide: Marcus at his desk, relaxed, typing confidently. NCW mountains through window.",Not skipping. Going further.,That's not using AI to skip. That's going further than the class ever went.,"Teenage boy typing confidently at desk, NCW mountain landscape through window, golden afternoon light"
CAMP02,The Go Deeper Lab,Gifted 8th Grader,EN,8,1:14–1:25,Mateo avatar — direct to camera. Warm. Brief.,The Go Deeper Lab.,The Go Deeper Lab.,"Warm Latino male in his 30s speaking directly to camera, professional but conversational, clean background"
CAMP02,The Go Deeper Lab,Gifted 8th Grader,EN,9,1:25–1:40,Final CTA card.,Sign the pledge → aigovops-foundation.github.io/aigovops-ncw-ai-camp,Sign the pledge at aigovops-foundation.github.io/aigovops-ncw-ai-camp,"Minimalist title card, dark green, white type, logos"
CAMP02,El Laboratorio de Profundidad,Gifted 8th Grader,ES,1,0:00–0:07,"Primer plano: la mano de Marco deslizando una hoja terminada. Reloj: 22 minutos. Los demás siguen trabajando.",,(ninguno),"Close-up of a teenager's hand pushing a finished worksheet aside, classroom clock on wall, photorealistic"
CAMP02,El Laboratorio de Profundidad,Gifted 8th Grader,ES,2,0:07–0:14,"Marco (13 años) recargado, teléfono bajo el escritorio.",Eso es tirar a Marco a la basura.,Y él se queda mirando el teléfono. Cada. Vez.,"13-year-old boy looking bored at school desk, phone visible, warm classroom light"
CAMP02,El Laboratorio de Profundidad,Gifted 8th Grader,ES,3,0:14–0:26,"Marco en casa — tres ventanas: ChatGPT, Claude, Gemini. Leyendo con cuidado.",Tres IAs. Una pregunta. No se pusieron de acuerdo.,"Abrió tres ventanas, la misma pregunta. No se pusieron de acuerdo en la evidencia.","Teenage boy at desk with three AI browser tabs open on laptop, leaning forward, warm desk lamp"
CAMP02,El Laboratorio de Profundidad,Gifted 8th Grader,ES,4,0:26–0:38,"Pantalla: notas de Marco a mano. 'En lo que no coincidieron:' Dos puntos. Su pluma circulando uno.",En el desacuerdo está la pregunta de verdad.,Justo en ese desacuerdo estaba la pregunta de verdad.,"Handwritten notes on notebook paper, pen circling key text, warm desk light"
CAMP02,El Laboratorio de Profundidad,Gifted 8th Grader,ES,5,0:38–0:52,"Marco con un artículo impreso — marcatextos en mano. Leyendo de verdad.",Leyó el estudio de a deveras.,Leyó el estudio de verdad. Escribió su argumento con sus propias palabras.,"Teenage boy reading a printed research paper with highlighter, focused, warm natural light"
CAMP02,El Laboratorio de Profundidad,Gifted 8th Grader,ES,6,0:52–1:04,"Pantalla: su borrador con crítica de Gemini abajo. Su mano seleccionando un párrafo débil.","""Nómbralos. No los arregles.""","Sé un juez duro. Dime mis tres puntos más débiles. No los arregles.","Laptop screen showing draft essay with AI critique notes, hand on trackpad"
CAMP02,El Laboratorio de Profundidad,Gifted 8th Grader,ES,7,1:04–1:14,"Marco en su escritorio, tecleando con seguridad. Montañas de NCW por la ventana.",No es hacer trampa. Es llegar más lejos.,Eso no es usar la IA para hacerse tonto. Es llegar más lejos que cualquiera en la clase.,"Teenage boy typing confidently at desk, NCW mountains through window, golden afternoon light"
CAMP02,El Laboratorio de Profundidad,Gifted 8th Grader,ES,8,1:14–1:25,Avatar narrador — cálido y directo a cámara.,El Laboratorio de Profundidad.,El Laboratorio de Profundidad.,"Warm Latino male speaking to camera, professional, clean background"
CAMP02,El Laboratorio de Profundidad,Gifted 8th Grader,ES,9,1:25–1:40,Tarjeta final.,Firma la promesa → aigovops-foundation.github.io/aigovops-ncw-ai-camp,Firma la promesa en aigovops-foundation.github.io/aigovops-ncw-ai-camp,"Minimalist title card, dark green, white type"
CAMP03,Building Original Work in an AI-Saturated World,Gifted 12th Grader,EN,1,0:00–0:08,"Wide: senior classroom. Multiple students with AI chatbots visible. Becca in foreground — THREE tabs open.",Everyone is using AI.,Everyone in Becca's class is using AI. The question isn't whether she will.,"High school classroom, multiple students on laptops, one girl with three browser tabs, warm natural light, documentary"
CAMP03,Building Original Work in an AI-Saturated World,Gifted 12th Grader,EN,2,0:08–0:17,"Close-up: Becca's face reading three AI responses. Expression: analytical. Pen tapping.",The question is: how.,The question is: how.,"High school senior reading multiple AI responses on laptop, analytical expression, pen in hand, warm light"
CAMP03,Building Original Work in an AI-Saturated World,Gifted 12th Grader,EN,3,0:17–0:32,"Screen insert: three AI chat windows, same prompt. Responses differ. Cursor highlights a disagreement.",Three AIs. Same question. Different answers.,She opened Gemini, Claude, ChatGPT — and asked each for the strongest case against her position.,"Laptop screen split showing three AI interfaces with similar prompts, cursor highlighting discrepancy"
CAMP03,Building Original Work in an AI-Saturated World,Gifted 12th Grader,EN,4,0:32–0:44,"Becca with printed papers — journal article, highlighter, sticky notes. Cross-referencing.",She read the actual studies.,She read what they agreed on. She read what they disagreed on. Then the actual studies.,"High school girl at desk with printed research papers, sticky notes, highlighter, warm library light"
CAMP03,Building Original Work in an AI-Saturated World,Gifted 12th Grader,EN,5,0:44–0:55,"Close-up: lined notebook, hand-written outline. No laptop. Her handwriting clear and confident.",Outline: no AI in this step.,She hand-wrote her outline. No AI in that step.,"Close-up of a handwritten essay outline in a lined notebook, pen actively writing, no screens"
CAMP03,Building Original Work in an AI-Saturated World,Gifted 12th Grader,EN,6,0:55–1:10,"Montage — 2 cuts: (1) Becca typing, engaged. (2) Gemini critique on screen — she opens her doc to edit.",Her voice. Her rewrites.,She drafted in her voice. Three rounds of critic feedback. Three rounds of her own rewrites.,"High school girl typing at laptop, split with screen showing AI feedback she responds to"
CAMP03,Building Original Work in an AI-Saturated World,Gifted 12th Grader,EN,7,1:10–1:22,"Close-up: her document footer: 'I used Gemini, Claude, and ChatGPT for opposition research. I wrote every sentence.'",The receipt. The proof.,"When she turned it in, she added a footer. 'I used AI for opposition research. I wrote every sentence.'","Close-up of a Word document footer showing an AI disclosure statement, warm document lighting"
CAMP03,Building Original Work in an AI-Saturated World,Gifted 12th Grader,EN,8,1:22–1:34,Jackson avatar — serious but warm. Slight lean forward.,That's not embarrassing. That's professional.,"That's not embarrassing. That's professional.","Professional adult male speaking to camera, serious but approachable expression, warm clean background"
CAMP03,Building Original Work in an AI-Saturated World,Gifted 12th Grader,EN,9,1:34–1:55,Final CTA card.,Sign the pledge → aigovops-foundation.github.io/aigovops-ncw-ai-camp,Sign the pledge at aigovops-foundation.github.io/aigovops-ncw-ai-camp,"Minimalist title card, dark green, white type, logos"
CAMP03,Trabajo Original en un Mundo Saturado de IA,Gifted 12th Grader,ES,1,0:00–0:08,"Salón de preparatoria. Varios estudiantes con chatbots. Rebeca en primer plano — TRES ventanas abiertas.",Todos usan IA.,Todos en la clase de Rebeca están usando IA. La pregunta no es si va a usarla.,"High school classroom, students on laptops, one girl with three browser tabs, warm natural light"
CAMP03,Trabajo Original en un Mundo Saturado de IA,Gifted 12th Grader,ES,2,0:08–0:17,"Primer plano: cara de Rebeca leyendo tres respuestas de IA. Expresión analítica. Bolígrafo en mano.",La pregunta es: cómo.,La pregunta es: cómo.,"High school senior reading multiple AI responses on laptop, analytical expression, pen in hand"
CAMP03,Trabajo Original en un Mundo Saturado de IA,Gifted 12th Grader,ES,3,0:17–0:32,"Pantalla: tres ventanas de IA, el mismo prompt. Las respuestas difieren. El cursor marca un desacuerdo.",Tres IAs. La misma pregunta. Respuestas distintas.,Abrió tres IAs y le pidió a cada una el argumento más fuerte en contra de su postura.,"Laptop screen showing three AI interfaces with similar prompts, cursor on discrepancy"
CAMP03,Trabajo Original en un Mundo Saturado de IA,Gifted 12th Grader,ES,4,0:32–0:44,"Rebeca con artículos impresos — marcatextos, notas adhesivas. Cruzando referencias.",Leyó los estudios de verdad.,Leyó en lo que coincidían y en lo que no. Luego los estudios originales.,"High school girl at desk with printed research papers, sticky notes, highlighter, warm light"
CAMP03,Trabajo Original en un Mundo Saturado de IA,Gifted 12th Grader,ES,5,0:44–0:55,"Primer plano: cuaderno. Esquema escrito a mano. Sin computadora. Letra clara.",Esquema: sin IA en este paso.,Su esquema lo hizo a mano. Sin IA en ese paso.,"Close-up of handwritten essay outline in a notebook, pen writing, no screens"
CAMP03,Trabajo Original en un Mundo Saturado de IA,Gifted 12th Grader,ES,6,0:55–1:10,"Montaje: (1) Rebeca teclando, concentrada. (2) Crítica de Gemini — ella abre su documento para editar.",Su voz. Sus correcciones.,Redactó con su propia voz. Tres rondas de crítica. Tres rondas de sus propias correcciones.,"High school girl typing at laptop, split with AI feedback screen she responds to"
CAMP03,Trabajo Original en un Mundo Saturado de IA,Gifted 12th Grader,ES,7,1:10–1:22,"Primer plano: pie de página del documento: 'Usé Gemini, Claude y ChatGPT para contraargumentos. Yo escribí cada oración.'",El rastro. La prueba.,"Cuando entregó, puso una nota al pie: 'Usé IA para investigar. Yo escribí cada oración.'","Close-up of Google Doc footer showing AI disclosure statement, warm document lighting"
CAMP03,Trabajo Original en un Mundo Saturado de IA,Gifted 12th Grader,ES,8,1:22–1:34,Avatar narrador — serio pero cálido.,Eso no es vergonzoso. Es profesional.,"Eso no es vergonzoso. Es profesional.","Professional adult male speaking to camera, serious but approachable, warm clean background"
CAMP03,Trabajo Original en un Mundo Saturado de IA,Gifted 12th Grader,ES,9,1:34–1:55,Tarjeta final.,Firma la promesa → aigovops-foundation.github.io/aigovops-ncw-ai-camp,Firma la promesa en aigovops-foundation.github.io/aigovops-ncw-ai-camp,"Minimalist title card, dark green, white type, logos"
CAMP04,My Helper Camp,Challenged 4th Grader,EN,1,0:00–0:08,"Close-up: Diego's face looking down at a page of text. Eyes moving slowly. Biting his lip — working, not frustrated.",,(none),"Close-up portrait of a young Latino boy age 9 looking down at a book page, concentrating expression, warm soft classroom light"
CAMP04,My Helper Camp,Challenged 4th Grader,EN,2,0:08–0:14,"Pull back: Diego at a small desk, surrounded by classmates moving faster. Still on page one.",That happens — even to really smart kids.,They go too fast. That happens — even to really smart kids.,"Elementary student at desk slightly behind classmates, warm classroom light, empathetic framing"
CAMP04,My Helper Camp,Challenged 4th Grader,EN,3,0:14–0:27,"Diego at home, tablet propped on kitchen table. Talking to it (mic icon visible). Parent at sink visible but not hovering.","""Use small words. Use an example with cookies.""","He opened Gemini and talked to it. 'I'm nine. Help me with long division. Use an example with cookies.'","Young Latino boy talking to a tablet at a kitchen table, parent visible in background, warm evening home light"
CAMP04,My Helper Camp,Challenged 4th Grader,EN,4,0:27–0:40,"Screen insert: AI chat showing 'Imagine you have 12 cookies…' with a small cookie icon. Diego points at screen.","""Imagine you have 12 cookies…""","Gemini said: 'Imagine you have 12 cookies…' Diego understood the cookies version.","Tablet screen showing child-friendly AI explanation with cookie emoji, child's finger pointing at screen"
CAMP04,My Helper Camp,Challenged 4th Grader,EN,5,0:40–0:52,"Diego trying a problem on paper. Gets it wrong. Erases. Tries again. Gets it right. A small surprised smile.",He tried. He got it wrong. He tried again.,He tried a problem himself. Got it wrong the first time. He asked again. He got it right.,"Young boy writing math on paper, erasing, rewriting, then a small smile, warm kitchen light"
CAMP04,My Helper Camp,Challenged 4th Grader,EN,6,0:52–1:02,"Close-up: a colorful star sticker being pressed onto a folder. Diego's small hand.",His sticker. His win.,He put a sticker on his folder. Not because the AI got it right. Because he got it right.,"Close-up of a child's hand pressing a star sticker onto a colorful folder, warm light, joyful gesture"
CAMP04,My Helper Camp,Challenged 4th Grader,EN,7,1:02–1:15,Tina avatar — very warm. Direct to camera. Speaks to the child as much as to the adult.,The helper helps. You do the work.,"The helper is patient. The helper is kind. The helper never does the work for you.","Friendly female teacher speaking directly to camera, warm smile, inclusive and reassuring, classroom background"
CAMP04,My Helper Camp,Challenged 4th Grader,EN,8,1:15–1:30,Final CTA card.,Sign the pledge → aigovops-foundation.github.io/aigovops-ncw-ai-camp,Sign the pledge at aigovops-foundation.github.io/aigovops-ncw-ai-camp,"Minimalist title card, dark green, white type, QR code"
CAMP04,Mi Campamento de Ayuda,Challenged 4th Grader,ES,1,0:00–0:08,"Primer plano: cara de Diego mirando una página. Sus ojos van despacio. Se muerde el labio — trabajando.",,(ninguno),"Close-up portrait of a young Latino boy age 9 looking at a book page, concentrating, warm soft classroom light"
CAMP04,Mi Campamento de Ayuda,Challenged 4th Grader,ES,2,0:08–0:14,"Diego en su escritorio. Sus compañeros avanzan más rápido. Él sigue en la primera página.",Eso pasa — hasta a los niños muy listos.,Van muy rápido. Eso pasa — hasta a los niños muy listos.,"Elementary student at desk, classmates ahead, warm classroom light, empathetic"
CAMP04,Mi Campamento de Ayuda,Challenged 4th Grader,ES,3,0:14–0:27,"Diego en casa, tableta en la mesa de la cocina. Le habla (ícono de mic). Mamá al fondo lavando.","""Usa palabras fáciles. Ponme un ejemplo con galletas.""","Abrió Gemini y le habló. 'Tengo nueve años. Ayúdame con la división. Ponme un ejemplo con galletas.'","Young Latino boy talking to a tablet at a kitchen table, parent in background, warm evening home light"
CAMP04,Mi Campamento de Ayuda,Challenged 4th Grader,ES,4,0:27–0:40,"Pantalla: chat con 'Imagínate que tienes doce galletas…' con ícono de galleta. Diego señala la pantalla.","""Imagínate que tienes doce galletas…""","Gemini le dijo: 'Imagínate que tienes doce galletas…' Diego entendió la versión de las galletas.","Tablet screen showing child-friendly AI explanation with cookie emoji, child's finger pointing"
CAMP04,Mi Campamento de Ayuda,Challenged 4th Grader,ES,5,0:40–0:52,"Diego intentando un problema en papel. Se equivoca. Borra. Intenta otra vez. Sale bien. Una pequeña sonrisa.",Intentó. Se equivocó. Intentó otra vez.,Intentó un problema él solo. La primera vez se equivocó. Preguntó otra vez. La segunda le salió.,"Young boy writing math on paper, erasing, rewriting, small smile, warm kitchen light"
CAMP04,Mi Campamento de Ayuda,Challenged 4th Grader,ES,6,0:52–1:02,"Primer plano: una calcomanía de estrella pegada en una carpeta. La mano pequeña de Diego.",Su calcomanía. Su logro.,Se puso una calcomanía en su carpeta. No porque la IA lo resolvió. Porque él lo resolvió.,"Close-up of a child's hand pressing a star sticker onto a folder, warm light, joyful"
CAMP04,Mi Campamento de Ayuda,Challenged 4th Grader,ES,7,1:02–1:15,Avatar narradora — muy cálida. Directa a cámara.,El ayudante ayuda. Tú haces el trabajo.,"El ayudante es paciente. Es amable. Nunca hace el trabajo por ti.","Friendly female teacher speaking to camera, warm smile, classroom background"
CAMP04,Mi Campamento de Ayuda,Challenged 4th Grader,ES,8,1:15–1:30,Tarjeta final.,Firma la promesa → aigovops-foundation.github.io/aigovops-ncw-ai-camp,Firma la promesa en aigovops-foundation.github.io/aigovops-ncw-ai-camp,"Minimalist title card, dark green, white type, QR code"
CAMP05,The Second Chance Lab,Challenged 8th Grader,EN,1,0:00–0:09,"Jaylen (age 13) at a school desk. A returned test face-down. He doesn't flip it over. Just stares.",,(none),"Teenager sitting at school desk staring at a face-down test paper, quiet classroom, empathetic, photorealistic"
CAMP05,The Second Chance Lab,Challenged 8th Grader,EN,2,0:09–0:16,"Jaylen looks sideways at a classmate who seems unbothered.",Never asked for help.,"Jaylen has been faking it since October. Never asked for help. Too embarrassing.","13-year-old boy in classroom looking sideways at a confident classmate, slightly slumped, warm documentary light"
CAMP05,The Second Chance Lab,Challenged 8th Grader,EN,3,0:16–0:28,"Jaylen at home — kitchen table, laptop. Typing. Nervous but doing it anyway. Prompt appears on screen.","""Explain it three different ways.""","He opened Gemini and typed exactly what was true: 'I'm stuck on factoring. Explain it three different ways.'","Teenage boy typing on laptop at kitchen table, focused and slightly nervous, warm evening home light"
CAMP05,The Second Chance Lab,Challenged 8th Grader,EN,4,0:28–0:40,"Screen insert: three explanations side by side — 'Real-world,' 'Drawing in words,' 'Step-by-step recipe.' Jaylen's finger traces the second one.",One of them clicked.,"One of those three ways clicked. He doesn't know which one would have worked in class.","Screen showing three parallel text explanations of a math concept, finger pointing at one"
CAMP05,The Second Chance Lab,Challenged 8th Grader,EN,5,0:40–0:55,"Jaylen working through problems on paper. Some crossed out. Some circled. Expression going from tense to slowly settling.",Nine problems. Some wrong. All his.,"He asked for nine problems. No answers. Just problems. He tried each one.",Teenage boy working through math problems on paper with eraser marks and slowly relaxing expression
CAMP05,The Second Chance Lab,Challenged 8th Grader,EN,6,0:55–1:07,"Jaylen writing a paragraph in his notebook. Reads it back. Takes a photo of it.","""How I'd explain it to a friend.""",He wrote one paragraph: How I would explain this to a friend who's confused. He showed it to his teacher.,"Teenage boy writing in a notebook, reading it back with growing confidence, warm desk lamp"
CAMP05,The Second Chance Lab,Challenged 8th Grader,EN,7,1:07–1:18,Mateo avatar — direct to camera. Honest. Not a pep talk.,Not a shortcut. A better map.,"This isn't a shortcut. It's the long road — with a better map.","Warm Latino male adult speaking to camera, honest and empathetic expression, clean background"
CAMP05,The Second Chance Lab,Challenged 8th Grader,EN,8,1:18–1:40,Final CTA card.,Sign the pledge → aigovops-foundation.github.io/aigovops-ncw-ai-camp,Sign the pledge at aigovops-foundation.github.io/aigovops-ncw-ai-camp,"Minimalist title card, dark green, white type"
CAMP05,El Laboratorio de Segunda Oportunidad,Challenged 8th Grader,ES,1,0:00–0:09,"Jaylen (13 años) en su escritorio. Un examen boca abajo. No lo voltea. Solo lo mira.",,(ninguno),"Teenager at school desk staring at a face-down test, quiet classroom, empathetic, photorealistic"
CAMP05,El Laboratorio de Segunda Oportunidad,Challenged 8th Grader,ES,2,0:09–0:16,"Jaylen voltea a ver a un compañero que no tiene problema.",Nunca pidió ayuda.,Jaylen lleva desde octubre haciéndose el que entiende. Nunca pidió ayuda. Le daba pena.,"13-year-old boy looking sideways at confident classmate, slumped posture, warm light"
CAMP05,El Laboratorio de Segunda Oportunidad,Challenged 8th Grader,ES,3,0:16–0:28,"Jaylen en casa — mesa de cocina, computadora. Tecleando. Nervioso pero haciéndolo.","""Explícame de tres formas distintas.""","Abrió Gemini y escribió exactamente la verdad: 'Me atasqué con la factorización. Explícame de tres formas distintas.'","Teenage boy typing on laptop at kitchen table, nervous but determined, warm evening light"
CAMP05,El Laboratorio de Segunda Oportunidad,Challenged 8th Grader,ES,4,0:28–0:40,"Pantalla: tres explicaciones — 'Ejemplo real', 'Dibujo en palabras', 'Receta paso a paso'. El dedo de Jaylen en la segunda.",Una de ellas le pegó.,"Una de esas tres formas le pegó. No sabe cuál le hubiera funcionado en la clase.","Screen showing three parallel math explanations, finger pointing at one"
CAMP05,El Laboratorio de Segunda Oportunidad,Challenged 8th Grader,ES,5,0:40–0:55,"Jaylen trabajando problemas en papel. Algunos tachados. Algunos circulados. Su expresión se asienta despacio.",Nueve problemas. Algunos mal. Todos suyos.,"Pidió nueve problemas. Sin respuestas. Los intentó todos.","Teenage boy working through math problems on paper, eraser marks, expression slowly relaxing"
CAMP05,El Laboratorio de Segunda Oportunidad,Challenged 8th Grader,ES,6,0:55–1:07,"Jaylen escribiendo un párrafo en su cuaderno. Lo lee. Lo fotografía.","""Cómo se lo explicaría a un amigo.""",Escribió un párrafo: Cómo le explicaría esto a un amigo confundido. Se lo enseñó a su maestra.,"Teenage boy writing in notebook, reading it back with growing confidence, warm desk lamp"
CAMP05,El Laboratorio de Segunda Oportunidad,Challenged 8th Grader,ES,7,1:07–1:18,Avatar narrador — directo y honesto. No un discurso motivacional.,No es un atajo. Es un mejor mapa.,"Esto no es un atajo. Es el camino largo — con un mejor mapa.","Warm Latino male adult speaking to camera, honest and empathetic"
CAMP05,El Laboratorio de Segunda Oportunidad,Challenged 8th Grader,ES,8,1:18–1:40,Tarjeta final.,Firma la promesa → aigovops-foundation.github.io/aigovops-ncw-ai-camp,Firma la promesa en aigovops-foundation.github.io/aigovops-ncw-ai-camp,"Minimalist title card, dark green, white type"
