video_id,video_name,audience,language,shot_number,timecode,visual_description,on_screen_text,narration_line,gamma_prompt
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,11,1:30–1:38,"The Demo Preview Shot. A single wide monitor split three ways: three AI interfaces (Gemini, Claude, ChatGPT) showing different answers to the same question. A synthesizer result panel appears on a fourth panel.","3 AIs. 1 question. Better together.","What if three AIs argued about a hard problem — and showed their reasoning — and then a human decided?","A wide monitor showing three AI chat interfaces side by side with different responses to the same question, a fourth synthesis panel emerging, clean UI, conceptual but realistic, warm ambient lighting"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,12,1:38–1:46,"Close-up: a hand writing on a single sheet of paper — five lines, each beginning with a different phrase. 'Students MAY...' 'Students MUST...' At the bottom: a teacher's signature.","5 sentences. That's your policy.","What if your school had a written AI policy that fit on one page and actually got followed?","Close-up of a hand writing a short AI policy on a single piece of paper, five short lines visible, a signature line at the bottom, warm desk light, authentic handwriting style"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,13,1:46–1:54,"Ken and Bob on stage — a preview shot, backs to camera, looking out at a full audience. The energy is about to happen.","Deep Think. Model Council. AiGovOps Foundation. (each term fades in on its own line)","That's not a dream. That's Deep Think. That's the Model Council. That's what the AiGovOps Foundation builds — for free, open source — for communities exactly like this one.","Two male presenters on a stage, backs to camera, looking out at a large full audience in a convention center, stage lights illuminating them from behind, cinematic, hopeful"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,14,1:54–2:04,"Screen fill: three AI reasoning traces, stacked or side by side, visibly 'thinking' — reasoning text scrolling. Labels: GEMINI / CLAUDE / GPT-5.","GEMINI · CLAUDE · GPT-5","Today, in this room, you'll see three frontier AIs reason through a real question about a real NCW student — in real time.","Split-screen showing three AI reasoning interfaces side by side, each with scrolling thought traces, labeled Gemini, Claude, and GPT-5, modern clean UI, deep blue background, cinematic"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,15,2:04–2:10,"A fourth panel appears: 'SYNTHESIS.' Five bullet points emerge one at a time. A glowing confidence score (1–5) appears next to each bullet.","SYNTHESIS · High confidence: 4 of 5 AIs agree",(music swell — no narration for 2 seconds),"A synthesis AI panel emerging on a screen with five bulleted takeaways and confidence scores 1-5 appearing next to each, modern interface, dramatic reveal lighting"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,16,2:10–2:16,"Pull back to reveal: Ken at the podium, reading from the synthesis live. The audience is visibly leaning forward. A few people in the front row are taking notes.",(none — let the moment breathe),(continued narration runs under this shot — 'in real time.'),"A presenter at a podium reading results from a large projection screen showing AI synthesized results, audience leaning forward attentively, convention center setting, documentary style"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,17,2:16–2:25,"A confident attendee — female, 40s, teacher lanyard — writing in her notebook. She circles something three times. Looks up at the screen. Nods.",(none),"You'll write your own AI policy. In five sentences. And when you walk out of here, you'll be at an eight.","A middle-aged female teacher in an audience setting writing in a notebook, circling a passage, looking up at a stage with a look of recognition and confidence, warm light, authentic"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,18,2:25–2:32,"A confidence dot wall — a foam board covered in colored dot stickers. A hand moves one dot from the 5 column to the 8 column.","5 → 8 (appears as hand moves the dot)","You came in at a five.","Close-up of a foam board with colorful dot stickers in numbered columns, a hand moving a sticker from the 5 column to the 8 column, clean, warm light, conceptual shot"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,19,2:32–2:42,"Aerial slow drone pull-back over Wenatchee — the Convention Center visible, the Columbia River, the Cascades. A city that is small, real, and beautiful. Evening golden light.","AI as Partner in Education (elegant white type centered)","AI as partner in education — this is what it looks like when a community decides to lead.","Aerial drone shot over downtown Wenatchee Washington at golden hour, Columbia River visible, Cascade Mountains in background, Convention Center visible, cinematic wide angle, photorealistic, hopeful"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,20,2:42–2:48,"Return to María — same classroom, same window. But now she's smiling at something off-screen, not at the camera. Her Chromebook is open. She's working.",(none),(music only — 2 second breath before the final lines),"Close-up of a young Latina girl in a classroom, smiling slightly while focused on a laptop, warm morning light, the same girl from the opening shots, full circle moment"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,21,2:48–2:56,"A single sheet of paper — the NCW AI Partnership Pledge — being signed. A hand writes a name. Then: the sheet is held up to the camera. First line readable: 'AI is a partner, not a replacement.'",(none),"Sign the pledge. Use the tools. Keep the receipts.","Close-up of a hand signing the NCW AI Partnership Pledge document, the pledge text partially visible, warm desk lighting, hopeful and deliberate"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,22,2:56–3:00,"Final Card. Dark deep-green background. AiGovOps Foundation + NCW Tech Alliance logos. Text animates in one line at a time. QR code appears last.","AI AS PARTNER IN EDUCATION · NCW AI Expo · August 11 2026 · aigovops-foundation.com/ncw",(music only — warm orchestral resolve),"Minimalist title card on deep forest-green background, white sans-serif type, two small institutional logos, QR code at bottom center, professional event branding"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,1,0:00–0:06,"Black screen. Single piano note. Extreme close-up: a young Latina girl's hand opens a Chromebook in a dim classroom at dawn. The screen lights her face. One window — the Columbia River barely visible through the glass.",(none),"Es martes por la mañana. En un salón de clases en Wenatchee.","Extreme close-up of a young Latina girl's hands opening a Chromebook in a dim K-8 classroom at dawn, one window with Columbia River visible outside, soft warm light, photorealistic, cinematic"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,2,0:06–0:14,"Over-the-shoulder on María — AI tutor interface glowing on screen. She leans forward. Her expression shifts from uncertain to focused.",(none),"Una muchacha que se llama María lleva dos años batallando con el álgebra. Hoy — lo entiende.","Over-the-shoulder shot of a young Latina girl at a school desk focused on a glowing laptop AI tutor interface, warm lamplight, photorealistic, shallow depth of field"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,3,0:14–0:26,"Wide classroom: teacher circling 20 desks, handwritten sign on wall: 'AI is a partner. The thinking is yours.' Warm, lived-in, real NCW school energy.",(none),"Un tutor de inteligencia artificial recuerda en qué se equivocó el lunes. No le da la respuesta — le hace una pregunta, luego otra.","Wide shot of a real K-8 classroom in a small Pacific Northwest town, students working on laptops, teacher walking among them, handwritten poster on wall, warm afternoon light, authentic documentary style"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,4,0:26–0:35,"Push in on María's face — she's nodding. Quick cut to test score on paper circled in green: +34%.","+34% (verde grande aparece)","Después de veintidós minutos al día, durante tres meses, María sacó treinta y cuatro por ciento más que sus compañeros en el examen.","Close-up of a student's test paper showing strong results, a teacher's hand circling a high score in green marker, warm desk lighting, photorealistic"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,5,0:35–0:43,"María looks off-camera. Determined. Full face reveal.",(none),"Quiere ser ingeniera. Por primera vez — siente que puede lograrlo.","Close-up portrait of a young Latina girl in a classroom, looking off-camera with a thoughtful and determined expression, soft window light, photorealistic, warm tones"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,6,0:43–0:52,"Color temperature shifts — slightly cooler. Jake hunched over a laptop. Screen in his glasses.",(none),"La misma semana. Un muchacho que se llama Jake le dejó a un chatbot escribir siete ensayos.","A teenage boy hunched over a laptop in a classroom, his expression distracted and slightly guilty, screen reflected in his glasses, slightly cooler lighting than previous shots, photorealistic"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,7,0:52–1:02,"A phone screen with blurred social media feed. Then: an empty desk in a classroom. A backpack still on the chair.",(none — let the empty desk land),"La imagen de una compañera fue usada como arma en cuatro minutos con una aplicación gratuita en el celular de un chico de catorce años. Ella dejó de ir a la escuela.","Empty school desk with a backpack still hanging on the chair, the rest of the classroom bustling with other students, the empty chair carrying emotional weight, documentary style, warm-cool contrast"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,8,1:02–1:10,"Bar chart: Jake's critical-thinking score over 4 weeks, declining. The number -15.3% appears.","-15.3% (rojo apagado)","Y Jake — después de cuatro semanas dejándole a la IA decidir qué era verdad — perdió el quince por ciento de su propia capacidad para pensar con criterio. Él no se dio cuenta.","Simple hand-drawn style bar chart on a whiteboard showing a declining trend over 4 weeks, a teacher's marker highlighting the drop, -15.3% labeled in red, documentary close-up"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,9,1:10–1:20,"Wide — Convention Center ballroom. Empty, about to be filled. Camera pushes toward stage.","NORTE CENTRAL DE WASHINGTON (blanco tercio inferior)","Las dos historias son reales. Las dos pasaron en escuelas americanas este año. Este salón — aquí, ahora mismo — es donde el Norte Central de Washington decide cuál de las dos se vuelve la norma.","Wide interior shot of a convention center ballroom — rows of empty seats facing an empty stage, warm stage lighting, the room about to be filled, cinematic push-in, hopeful and weighty"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,10,1:20–1:30,"Quick montage — teacher on Sunday smiling; SMB owner reading AI email nodding; nonprofit leader at whiteboard with three sticky notes.","¿Y si...? (cursiva aparece durante el montaje)","¿Y si la IA le hiciera a su estudiante la pregunta correcta en vez de darle la respuesta?","A relaxed teacher at a kitchen table on Sunday morning, smiling while reviewing a laptop, coffee nearby, warm natural light, authentic, not staged"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,11,1:30–1:38,"Wide monitor split three ways: three AI interfaces showing different answers. Synthesizer fourth panel appears.","3 IAs. 1 pregunta. Juntas son mejores.","¿Y si tres IAs debatieran un problema difícil — mostrando cómo piensan — y luego un ser humano decidiera?","A wide monitor showing three AI chat interfaces side by side with different responses to the same question, a fourth synthesis panel emerging, clean UI, conceptual but realistic, warm ambient lighting"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,12,1:38–1:46,"Close-up: hand writing on a single sheet — five lines starting with different phrases. A teacher's signature at bottom.","5 oraciones. Esa es su política.","¿Y si su escuela tuviera una política de uso de la IA que cupiera en una página y de verdad se siguiera?","Close-up of a hand writing a short AI policy on a single piece of paper, five short lines visible, a signature line at the bottom, warm desk light, authentic handwriting style"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,13,1:46–1:54,"Ken and Bob on stage — backs to camera, looking out at full audience.","Deep Think. Consejo de Modelos. Fundación AiGovOps. (aparece línea por línea)","Eso no es un sueño. Eso es Deep Think. Eso es el Consejo de Modelos. Eso es lo que construye la Fundación AiGovOps — gratuito, de código abierto — para comunidades exactamente como esta.","Two male presenters on a stage, backs to camera, looking out at a large full audience in a convention center, stage lights illuminating them from behind, cinematic, hopeful"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,14,1:54–2:04,"Screen fill: three AI reasoning traces scrolling. Labels: GEMINI / CLAUDE / GPT-5.","GEMINI · CLAUDE · GPT-5","Hoy, en este salón, va a ver a tres IAs de vanguardia razonar sobre una pregunta real de un estudiante real de NCW — en tiempo real.","Split-screen showing three AI reasoning interfaces side by side, each with scrolling thought traces, labeled Gemini, Claude, and GPT-5, modern clean UI, deep blue background, cinematic"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,15,2:04–2:10,"Fourth panel appears: 'SÍNTESIS.' Five bullet points emerge. Confidence score next to each.","SÍNTESIS · Alta confianza: 4 de 5 IAs coinciden",(música — sin narración 2 segundos),"A synthesis AI panel emerging on a screen with five bulleted takeaways and confidence scores 1-5 appearing next to each, modern interface, dramatic reveal lighting"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,16,2:10–2:16,"Pull back to reveal: Ken at podium, reading from synthesis. Audience leaning forward.",(none),(la narración continúa debajo — 'en tiempo real.'),"A presenter at a podium reading results from a large projection screen showing AI synthesized results, audience leaning forward attentively, convention center setting, documentary style"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,17,2:16–2:25,"A confident attendee — female, 40s, teacher lanyard — writing in notebook, circling something.",(none),"Va a escribir su propia política de IA. En cinco oraciones. Y cuando salga de aquí, va a estar en un ocho.","A middle-aged female teacher in an audience setting writing in a notebook, circling a passage, looking up at a stage with a look of recognition and confidence, warm light, authentic"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,18,2:25–2:32,"Confidence dot wall — hand moves dot from 5 column to 8 column.","5 → 8 (aparece cuando la mano mueve el punto)","Entró en un cinco.","Close-up of a foam board with colorful dot stickers in numbered columns, a hand moving a sticker from the 5 column to the 8 column, clean, warm light, conceptual shot"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,19,2:32–2:42,"Aerial drone pull-back over Wenatchee — Convention Center visible, Columbia River, Cascades. Golden light.","La IA como aliada en la educación (tipo blanco elegante centrado)","La IA como aliada en la educación — así es como se ve cuando una comunidad decide tomar la delantera.","Aerial drone shot over downtown Wenatchee Washington at golden hour, Columbia River visible, Cascade Mountains in background, Convention Center visible, cinematic wide angle, photorealistic, hopeful"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,20,2:42–2:48,"Return to María — same classroom, same window. Now she's smiling at something off-screen. Chromebook open. Working.",(none),(música — pausa de 2 segundos antes de las líneas finales),"Close-up of a young Latina girl in a classroom, smiling slightly while focused on a laptop, warm morning light, the same girl from the opening shots, full circle moment"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,21,2:48–2:56,"A single sheet — the NCW AI Partnership Pledge — being signed. Hand writes a name. Sheet held up to camera.",(none),"Firme la Promesa. Use las herramientas. Guarde el rastro.","Close-up of a hand signing the NCW AI Partnership Pledge document, the pledge text partially visible, warm desk lighting, hopeful and deliberate"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,ES,22,2:56–3:00,"Final Card. Dark deep-green background. AiGovOps Foundation + NCW Tech Alliance logos. Text animates in. QR code last.","LA IA COMO ALIADA EN LA EDUCACIÓN · NCW AI Expo · 11 de agosto 2026 · aigovops-foundation.com/ncw",(música — desenlace orquestal cálido),"Minimalist title card on deep forest-green background, white sans-serif type, two small institutional logos, QR code at bottom center, professional event branding"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,1,0:00–0:06,"A hand holding a phone, tentatively opening an AI chat app. Slightly nervous body language. Convention center hallway background, colorful name tags visible.",(none),"You've heard of AI. Maybe you've poked at ChatGPT once or twice. Maybe you figured it wasn't really for you.","Close-up of a hand nervously opening a smartphone AI chat app in a convention center hallway, blurred name tags and people in background, warm light, authentic documentary style"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,2,0:06–0:11,"Camera tilts up — we see the person's face. They're smiling now. A sign on the wall behind them: ROOM A.","Wrong room for that thought. (appears as speech, friendly font)","Wrong room for that thought. Right room for what's next.","A person in their 30s or 40s smiling in a convention center hallway, a sign behind them reading ROOM A, warm ambient light, candid and genuine"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,3,0:11–0:22,"A market booth — jars of hot sauce, hands picking them up one at a time, tasting. Quick match-cut to five browser tabs side by side on a laptop.","Taste-test five tools. (simple text overlay)","In the next hour, you're going to taste-test five AI tools the way you'd taste-test five hot sauces at a market booth — a little of each, decide what you like, go home with the one that works.","A farmers market hot sauce tasting booth, several small jars and sample cups, a hand picking up a small tasting spoon, warm outdoor market light, authentic NCW agricultural community feel"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,4,0:22–0:32,"Screen-capture style: someone types a short prompt into Gemini. AI outputs a polished email. Their expression: impressed.","One sentence → a real email.","You're going to watch a single sentence turn into a thank-you email your donor actually wants to read.","Person at a laptop in a casual setting typing a short prompt into an AI chat interface, a polished email response appearing on screen, their expression shifting to pleased surprise, warm light"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,5,0:32–0:40,"A person talks out loud — mic icon animating on screen. Text appears in real time (Wispr Flow). Then: text fed into Gemini — a 4-bullet plan appears.","Talk for 30 seconds. Get a plan.","You're going to talk out loud for thirty seconds about your week and watch AI hand you back a plan.","Person speaking naturally to their laptop, a voice transcription interface showing text appearing in real time, then a clean AI-generated plan appearing below, photorealistic, casual home or office setting"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,6,0:40–0:48,"Gamma.app: someone types a short prompt. A 5-slide deck generates in 4 seconds — slide titles appear one by one. Person holds up their phone showing the same deck.","Blank → 5 slides. 4 minutes.","You're going to go from a blank slide to a five-slide deck in four minutes — on your phone if that's all you've got.","A person using the Gamma app on a smartphone, a presentation generating in real time showing slide previews appearing, a look of delighted surprise on their face, warm light"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,7,0:48–0:55,"The confidence dot wall — a hand places a sticker at '5.' Then another hand moves it to '7.' Quick, playful.","5 → 7. That's the deal.","You came in at a five. You're leaving at a seven. That's the whole deal.","A fun foam-board confidence meter with dot stickers in numbered columns, a hand moving a sticker from 5 to 7, colorful, playful, convention setting"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,8,0:55–1:02,"The door to Room A — wide open, people already filing in. A helper at the door smiling, handing something out.","ROOM A (bold clean large) · Starts right now.","Room A. Starts right now.","Wide shot of a convention center breakout room door with a ROOM A sign, attendees walking in, a friendly helper at the door, warm lighting, welcoming and accessible atmosphere"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,9,1:02–1:10,"Inside Room A: tables with laptops open, a big screen at the front showing the Gemini interface. Helpers at every table. Workshop feel.",(none),"Bring whatever you've got — phone, laptop, tablet.","Interior of a workshop-style conference breakout room, attendees seated at tables with open laptops and phones, a large screen at the front, helpers circulating, warm and engaged atmosphere"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,10,1:10–1:18,"Close-up: a hand pulling a phone out of a pocket, opening a browser. Quick cut: same phone showing an AI-generated output.","Your first AI co-pilot. (warm medium-size type)","Your first AI co-pilot is waiting.","Close-up of a phone being pulled from a pocket and opened to a browser, then a cut to the same phone showing a completed AI chat response, hands and phone only, warm ambient light"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,EN,11,1:18–1:30,"Final Card. Clean warm sage-green background. Cool Tools logo/title. QR code. URL. Date/time/room.","COOL TOOLS · Room A · 9:00 & 10:15 AM · Walk in. Bring a device. · ncwtech.org/ai-camp",(music resolves — upbeat warm landing),"Clean event title card on a warm sage-green background, bold clean white typography, QR code bottom center, breakout session branding"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,1,0:00–0:06,"Una mano sosteniendo un teléfono, abriendo nerviosamente una app de chat de IA. Pasillo de centro de convenciones al fondo, gafetes coloridos visibles.",(none),"Ya has escuchado hablar de la IA. Quizás una vez probaste ChatGPT. Quizás pensaste que eso no era para ti.","Close-up of a hand nervously opening a smartphone AI chat app in a convention center hallway, blurred name tags and people in background, warm light, authentic documentary style"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,2,0:06–0:11,"Camera tilts up — the same person smiling. A sign on the wall: SALÓN A.","Ese pensamiento lo dejamos en la puerta. (aparece como texto amigable)","Ese pensamiento lo dejamos en la puerta. Lo que viene — eso sí es para ti.","A person in their 30s or 40s smiling in a convention center hallway, a sign behind them reading ROOM A, warm ambient light, candid and genuine"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,3,0:11–0:22,"Puesto de mercado — frascos de salsa, manos probando. Quick match-cut a cinco pestañas abiertas en una laptop.","Prueba cinco herramientas. (texto simple)","En la próxima hora vas a probar cinco herramientas de IA igual que probarías cinco salsas en un puesto del mercado — un poco de cada una, decides cuál te gusta, y te llevas la que funciona.","A farmers market hot sauce tasting booth, several small jars and sample cups, a hand picking up a small tasting spoon, warm outdoor market light, authentic NCW agricultural community feel"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,4,0:22–0:32,"Screen-capture: alguien escribe un prompt corto en Gemini. La IA produce un correo pulido. Su expresión: impresionada.","Una oración → un correo real.","Vas a ver cómo una sola oración se convierte en el correo de agradecimiento que tu donante de verdad quiere leer.","Person at a laptop in a casual setting typing a short prompt into an AI chat interface, a polished email response appearing on screen, their expression shifting to pleased surprise, warm light"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,5,0:32–0:40,"Una persona habla en voz alta — ícono de micrófono animado en pantalla. Texto aparece en tiempo real (Wispr Flow). Luego: texto a Gemini — plan de 4 puntos aparece.","Habla 30 segundos. Obtén un plan.","Vas a hablar treinta segundos de tu semana y la IA te va a devolver un plan.","Person speaking naturally to their laptop, a voice transcription interface showing text appearing in real time, then a clean AI-generated plan appearing below, photorealistic, casual home or office setting"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,6,0:40–0:48,"Gamma.app: alguien escribe un prompt corto. Presentación de 5 diapositivas se genera. La persona la muestra en su teléfono.","Pantalla en blanco → 5 diapositivas. 4 minutos.","Vas a pasar de una pantalla en blanco a una presentación de cinco diapositivas en cuatro minutos — con el teléfono si eso es todo lo que traes.","A person using the Gamma app on a smartphone, a presentation generating in real time showing slide previews appearing, a look of delighted surprise on their face, warm light"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,7,0:48–0:55,"El mural de puntos de confianza — una mano pone un punto en '5'. Otra mano lo mueve al '7'. Rápido, juguetón.","5 → 7. Ese es el trato.","Entraste en un cinco. Vas a salir en un siete. Ese es el trato.","A fun foam-board confidence meter with dot stickers in numbered columns, a hand moving a sticker from 5 to 7, colorful, playful, convention setting"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,8,0:55–1:02,"La puerta del Salón A — abierta, personas entrando. Un ayudante en la puerta sonriendo, entregando materiales.","SALÓN A (negritas grandes) · Empieza ahorita.","Salón A. Empieza ahorita.","Wide shot of a convention center breakout room door with a ROOM A sign, attendees walking in, a friendly helper at the door, warm lighting, welcoming and accessible atmosphere"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,9,1:02–1:10,"Dentro del Salón A: mesas con laptops abiertas, pantalla grande mostrando Gemini. Ayudantes en cada mesa.",(none),"Trae lo que tengas — teléfono, computadora, tablet.","Interior of a workshop-style conference breakout room, attendees seated at tables with open laptops and phones, a large screen at the front, helpers circulating, warm and engaged atmosphere"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,10,1:10–1:18,"Close-up: una mano saca un teléfono del bolsillo, abre un navegador. Quick cut: mismo teléfono mostrando un resultado de IA.","Tu primer copiloto de IA. (tipo cálido mediano)","Tu primer copiloto de IA te está esperando.","Close-up of a phone being pulled from a pocket and opened to a browser, then a cut to the same phone showing a completed AI chat response, hands and phone only, warm ambient light"
V2,Cool Tools Breakout Intro,5/10 confidence majority / General public,ES,11,1:18–1:30,"Tarjeta final. Fondo verde salvia cálido. Título Cool Tools. Código QR. URL. Fecha/hora/salón.","COOL TOOLS · Salón A · 9:00 & 10:15 AM · Entra. Trae un dispositivo. · ncwtech.org/ai-camp",(música — desenlace animado y cálido),"Clean event title card on a warm sage-green background, bold clean white typography, QR code bottom center, breakout session branding"
